"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"?","1","~","","","","ProPrj_eve-easyedapro:",""
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28","23","100nF","","","","ProPrj_eve-easyedapro:C0805",""
"C17,C18","2","10uF","","","","ProPrj_eve-easyedapro:CAP-TH_BD10.0-P5.00-D1.0-FD-H16.0","https://atta.szlcsc.com/upload/public/pdf/source/20191223/C473225_F386740271D4F9A16F81F2D6CB648B12.pdf"
"D1,D2,D3,D4,D5,D6","6","1N4148W","","","","ProPrj_eve-easyedapro:DO-35_BD2.0-L4.2-P8.20-D0.5-R-RD","https://item.szlcsc.com/datasheet/1N4148W/82750.html"
"D7,D8","2","1N5817W","","","","ProPrj_eve-easyedapro:DO-41_BD2.4-L4.7-P8.70-D0.8-RD","https://item.szlcsc.com/datasheet/1N5817W/8533868.html"
"H1","1","HTSW-110-07-G-S","","","","ProPrj_eve-easyedapro:HDR-TH_TSW-110-17-F-S-LL","https://item.szlcsc.com/datasheet/HTSW-110-07-G-S/8255757.html"
"H2","1","HTSW-108-22-T-S","","","","ProPrj_eve-easyedapro:HDR-TH_HTSW-108-22-T-S","https://item.szlcsc.com/datasheet/HTSW-108-22-T-S/7841687.html"
"H3","1","HTSW-104-18-F-S","","","","ProPrj_eve-easyedapro:HDR-TH_HTSW-104-25-S-S-LL","https://item.szlcsc.com/datasheet/HTSW-104-18-F-S/8255523.html"
"P1","1","2.54-2*5P简牛","","","","ProPrj_eve-easyedapro:IDC-TH_10P-P2.54_C5665","https://item.szlcsc.com/datasheet/2.54-2*5P%25E7%25AE%2580%25E7%2589%259B/6118.html"
"Q1,Q2","2","BCM847DS,115","","","","ProPrj_eve-easyedapro:SC-74-6_L2.9-W1.5-P0.95-LS2.8-BR","https://item.szlcsc.com/datasheet/BCM847DS%252C115/570639.html"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46","46","10K","","","","ProPrj_eve-easyedapro:R0805",""
"RTemp?","1","10kΩ","","","","ProPrj_eve-easyedapro:R0805",""
"tempCO?","1","PTS060301B100RP100","","","","ProPrj_eve-easyedapro:R0805","https://item.szlcsc.com/datasheet/PTS060301B100RP100/152849.html"
"U2","1","2N3906(ZA)PNP","","","","ProPrj_eve-easyedapro:SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR",""
"U4,U5,U8","3","2N3904S(ZC)NPN","","","","ProPrj_eve-easyedapro:SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR",""
"U9","1","LM393N","","","","ProPrj_eve-easyedapro:DIP-8_L9.7-W6.4-P2.54-LS7.6-BL","https://item.szlcsc.com/datasheet/LM393N/771556.html"
"U12","1","LM336","","","","ProPrj_eve-easyedapro:TO-92-3_L4.9-W3.7-P1.27-L",""
"U13,U14","2","TL084CN","","","","ProPrj_eve-easyedapro:SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL","https://www.ti.com/cn/lit/gpn/tl084"
"U15","1","TL082","","","","ProPrj_eve-easyedapro:SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","https://item.szlcsc.com/datasheet/TL082/5796627.html"
"v/oct?","1","10kΩ","","","","ProPrj_eve-easyedapro:RES-ADJ-TH_3P_L9.6-W4.8-P2.50-L","https://atta.szlcsc.com/upload/public/pdf/source/20220330/4F21B15310F98CE40EAAD820485D2759.pdf"
"v/octLIN?,V_REF_adj?","2","10kΩ","","","","ProPrj_eve-easyedapro:RES-ADJ-TH_3P-L10.0-W10.0-P2.50-L",""
